A Thousand Furs [Special] - Touched by the Gods, p. 71
Toughness [General] - Player's Handbook, p. 85
Track [General] - Player's Handbook, p. 85
Trample [General] - Player's Handbook, p. 86
Treetopper [General] - Forgotten Realms Campaign Setting, p. 38
Trigger Power [Psionic] - Psionics Handbook, p. 30
Trustworthy [General] - Song and Silence, p. 40
Turn Outsider [Special] - Evil, p. 60
Turn Resistance [General] - Mythic Races, p. 50
Twin Power [Psionic] - Psionics Handbook, p. 30
Twin Spell [Metamagic] - Tome and Blood, p. 42
Twin Sword Style [Fighter, General] - Forgotten Realms Campaign Setting, p. 39
Two-Weapon Fighting [General] - Player's Handbook, p. 86
Tyrant [General] - Evil, p. 60
Ultimate Feint [General] - Evil, p. 62
Unavoidable Strike [Psionic] - Psionics Handbook, p. 30
Unbalancing Strike [General] - Oriental Adventures, p. 66
Undead Familiar [General] - Dragon Magazine #280, p. 62
Undetectable Lie [Infernal] - Evil, p. 28
Unholy Blessing [Infernal] - Evil, p. 28
Unholy Strength [Infernal] - Evil, p. 28
Unorthodox Flurry [Special] - Dragon Magazine #279, p. 63
Unusual Background [General] - Diomin, p. 43
Unyielding Aura [General] - Mythic Races, p. 69
Up the Walls [Psionic] - Psionics Handbook, p. 30
Upgrade Power [Psionic] - Dragon Magazine #287, p. 56
Vengeful Strike [General] - Touched by the Gods, p. 109
Vitus Kata [Mystic Warrior] - Mystic Warriors, p. 113
Wall Breaker [General] - Dragon Magazine #285, p. 98
Warrior Instinct [Ancestor] - Oriental Adventures, p. 66
Warrior Shugenja [Ancestor] - Oriental Adventures, p. 66
Warsinger [Special] - Touched by the Gods, p. 109
Water-ken [General] - The Taan, p. 83
Wealth [Infernal] - Evil, p. 29
Weapon Expertise: Throwing Spear [General] - Ragnarok!, p. 10
Weapon Finesse [General] - Player's Handbook, p. 86
Weapon Focus [General] - Player's Handbook, p. 86
Weapon Specialization [Special] - Player's Handbook, p. 86 (rules: p. 37)
Weapon-Catching [General] - Ragnarok!, p. 9
Whirlwind Attack [General] - Player's Handbook, p. 86
Widen Power [Metapsionic] - Dragon Magazine #287, p. 56
Widen Spell [Metamagic] - Tome and Blood, p. 42
Wish [Infernal] - Evil, p. 29
Wrath of Calaam [Special] - Touched by the Gods, p. 59
Zen Archery [General] - Sword and Fist, p. 9
